source_excel_row,id,survey_date,Date,month,year,covid_period,intersection,road,period,time_period,passenger_car,pickup_van,large_bus,small_bus,truck,tuk_tuk,Unnamed: 16,Unnamed: 17,source_sha256,source_sheet,intersection_key,road_key,report_day,report_month,report_year,report_date,survey_date_parsed,survey_month,survey_year,report_quarter,start_time,end_time,period_hours,time_key,passenger_car_clean,passenger_car_zero_assumed,pickup_van_clean,pickup_van_zero_assumed,large_bus_clean,large_bus_zero_assumed,small_bus_clean,small_bus_zero_assumed,truck_clean,truck_zero_assumed,tuk_tuk_clean,tuk_tuk_zero_assumed,has_assumed_zero,numeric_unresolved,numeric_negative,numeric_fractional,exact_repeat,repeated_survey_key,repeated_report_key,candidate_eligible
22,21,6/3/2017,6,3,2017,ก่อนโควิด,วัดสน,ซ.สุขสวัสดิ์ 35,เร่งด่วนเย็น,เร่งด่วนเย็น (16:00-19:00),119,66,0,0,2,0,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,วัดสน,ซ.สุขสวัสดิ์ 35,6,3,2017,2017-03-06,2017-03-06,3,2017,1,16:00,19:00,3.0,16:00-19:00,119.0,False,66.0,False,0.0,False,0,False,2,False,0,False,False,False,False,False,False,False,False,True
23,22,6/3/2017,6,3,2017,ก่อนโควิด,วัดสน,สุขสวัสดิ์,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),5744,3142,239,66,288,34,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,วัดสน,สุขสวัสดิ์,6,3,2017,2017-03-06,2017-03-06,3,2017,1,07:00,09:00,2.0,07:00-09:00,5744.0,False,3142.0,False,239.0,False,66,False,288,False,34,False,False,False,False,False,False,False,False,True
24,23,6/3/2017,6,3,2017,ก่อนโควิด,วัดสน,สุขสวัสดิ์,นอกเร่งด่วน,นอกเร่งด่วน (09:00-16:00),20609,11961,853,280,2202,127,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,วัดสน,สุขสวัสดิ์,6,3,2017,2017-03-06,2017-03-06,3,2017,1,09:00,16:00,7.0,09:00-16:00,20609.0,False,11961.0,False,853.0,False,280,False,2202,False,127,False,False,False,False,False,False,False,False,True
25,24,6/3/2017,6,3,2017,ก่อนโควิด,วัดสน,สุขสวัสดิ์,เร่งด่วนเย็น,เร่งด่วนเย็น (16:00-19:00),9743,5105,316,142,827,129,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,วัดสน,สุขสวัสดิ์,6,3,2017,2017-03-06,2017-03-06,3,2017,1,16:00,19:00,3.0,16:00-19:00,9743.0,False,5105.0,False,316.0,False,142,False,827,False,129,False,False,False,False,False,False,False,False,True
26,25,7/3/2017,7,3,2017,ก่อนโควิด,ใต้ด่วนพระราม 4,เชื้อเพลิง,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),1636,536,1,0,23,0,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,ใต้ด่วนพระราม 4,เชื้อเพลิง,7,3,2017,2017-03-07,2017-03-07,3,2017,1,07:00,09:00,2.0,07:00-09:00,1636.0,False,536.0,False,1.0,False,0,False,23,False,0,False,False,False,False,False,False,False,False,True
27,26,7/3/2017,7,3,2017,ก่อนโควิด,ใต้ด่วนพระราม 4,เชื้อเพลิง,นอกเร่งด่วน,นอกเร่งด่วน (09:00-16:00),6557,2099,3,0,165,12,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,ใต้ด่วนพระราม 4,เชื้อเพลิง,7,3,2017,2017-03-07,2017-03-07,3,2017,1,09:00,16:00,7.0,09:00-16:00,6557.0,False,2099.0,False,3.0,False,0,False,165,False,12,False,False,False,False,False,False,False,False,True
28,27,7/3/2017,7,3,2017,ก่อนโควิด,ใต้ด่วนพระราม 4,เชื้อเพลิง,เร่งด่วนเย็น,เร่งด่วนเย็น (16:00-19:00),2943,702,1,0,31,4,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,ใต้ด่วนพระราม 4,เชื้อเพลิง,7,3,2017,2017-03-07,2017-03-07,3,2017,1,16:00,19:00,3.0,16:00-19:00,2943.0,False,702.0,False,1.0,False,0,False,31,False,4,False,False,False,False,False,False,False,False,True
29,28,7/3/2017,7,3,2017,ก่อนโควิด,ใต้ด่วนพระราม 4,ทางด่วน,เร่งด่วนเช้า,เร่งด่วนเช้า (07:00-09:00),2212,396,0,0,2,0,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,ใต้ด่วนพระราม 4,ทางด่วน,7,3,2017,2017-03-07,2017-03-07,3,2017,1,07:00,09:00,2.0,07:00-09:00,2212.0,False,396.0,False,0.0,False,0,False,2,False,0,False,False,False,False,False,False,False,False,True
30,29,7/3/2017,7,3,2017,ก่อนโควิด,ใต้ด่วนพระราม 4,ทางด่วน,นอกเร่งด่วน,นอกเร่งด่วน (09:00-16:00),6557,1558,4,0,25,2,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,ใต้ด่วนพระราม 4,ทางด่วน,7,3,2017,2017-03-07,2017-03-07,3,2017,1,09:00,16:00,7.0,09:00-16:00,6557.0,False,1558.0,False,4.0,False,0,False,25,False,2,False,False,False,False,False,False,False,False,True
31,30,7/3/2017,7,3,2017,ก่อนโควิด,ใต้ด่วนพระราม 4,ทางด่วน,เร่งด่วนเย็น,เร่งด่วนเย็น (16:00-19:00),2245,646,16,0,5,0,0,0,6e1b556f353c66fec5c8a664f3e1e5b5e52e5a756f75c2ae28562c5c0fa6118b,traffic_data,ใต้ด่วนพระราม 4,ทางด่วน,7,3,2017,2017-03-07,2017-03-07,3,2017,1,16:00,19:00,3.0,16:00-19:00,2245.0,False,646.0,False,16.0,False,0,False,5,False,0,False,False,False,False,False,False,False,False,True
