source_excel_row,covid_period,intersection,road,report_year,report_month,report_day,survey_date_parsed,time_key,has_assumed_zero
101,ก่อนโควิด,อุณากรรณ,อุณากรรณ,2017,3,20,2017-03-20,07:00-09:00,False
102,ก่อนโควิด,อุณากรรณ,อุณากรรณ,2017,3,20,2017-03-20,09:00-16:00,False
103,ก่อนโควิด,อุณากรรณ,อุณากรรณ,2017,3,20,2017-03-20,16:00-19:00,False
104,ก่อนโควิด,อุณากรรณ,เจริญกรุง,2017,3,20,2017-03-20,07:00-09:00,False
105,ก่อนโควิด,อุณากรรณ,เจริญกรุง,2017,3,20,2017-03-20,09:00-16:00,False
106,ก่อนโควิด,อุณากรรณ,เจริญกรุง,2017,3,20,2017-03-20,16:00-19:00,False
113,ก่อนโควิด,บุคคโล,เจริญนคร,2017,3,22,2017-03-22,07:00-09:00,False
114,ก่อนโควิด,บุคคโล,เจริญนคร,2017,3,22,2017-03-22,09:00-16:00,False
115,ก่อนโควิด,บุคคโล,เจริญนคร,2017,3,22,2017-03-22,16:00-19:00,False
116,ก่อนโควิด,บุคคโล,มไหสวรรย์,2017,3,22,2017-03-22,07:00-09:00,False
117,ก่อนโควิด,บุคคโล,มไหสวรรย์,2017,3,22,2017-03-22,09:00-16:00,False
118,ก่อนโควิด,บุคคโล,มไหสวรรย์,2017,3,22,2017-03-22,16:00-19:00,False
134,ก่อนโควิด,สุทธิสาร,รัชดาภิเษก,2017,3,28,2017-03-28,07:00-09:00,False
135,ก่อนโควิด,สุทธิสาร,รัชดาภิเษก,2017,3,28,2017-03-28,09:00-16:00,False
136,ก่อนโควิด,สุทธิสาร,รัชดาภิเษก,2017,3,28,2017-03-28,16:00-19:00,False
137,ก่อนโควิด,สุทธิสาร,สุทธิสารวินิจฉัย,2017,3,28,2017-03-28,07:00-09:00,False
138,ก่อนโควิด,สุทธิสาร,สุทธิสารวินิจฉัย,2017,3,28,2017-03-28,09:00-16:00,False
139,ก่อนโควิด,สุทธิสาร,สุทธิสารวินิจฉัย,2017,3,28,2017-03-28,16:00-19:00,False
146,ก่อนโควิด,ประชานิเวศน์,ประชาชื่น,2017,3,30,2017-03-30,07:00-09:00,False
147,ก่อนโควิด,ประชานิเวศน์,ประชาชื่น,2017,3,30,2017-03-30,09:00-16:00,False
148,ก่อนโควิด,ประชานิเวศน์,ประชาชื่น,2017,3,30,2017-03-30,16:00-19:00,False
149,ก่อนโควิด,ประชานิเวศน์,เทศบาลสงเคราะห์,2017,3,30,2017-03-30,07:00-09:00,False
150,ก่อนโควิด,ประชานิเวศน์,เทศบาลสงเคราะห์,2017,3,30,2017-03-30,09:00-16:00,False
151,ก่อนโควิด,ประชานิเวศน์,เทศบาลสงเคราะห์,2017,3,30,2017-03-30,16:00-19:00,False
164,ก่อนโควิด,ถนนตก,เจริญกรุง,2017,4,3,2017-04-03,07:00-09:00,False
165,ก่อนโควิด,ถนนตก,เจริญกรุง,2017,4,3,2017-04-03,09:00-16:00,False
166,ก่อนโควิด,ถนนตก,เจริญกรุง,2017,4,3,2017-04-03,16:00-19:00,False
167,ก่อนโควิด,ถนนตก,พระรามที่ 3,2017,4,3,2017-04-03,07:00-09:00,False
168,ก่อนโควิด,ถนนตก,พระรามที่ 3,2017,4,3,2017-04-03,09:00-16:00,False
169,ก่อนโควิด,ถนนตก,พระรามที่ 3,2017,4,3,2017-04-03,16:00-19:00,False
203,ก่อนโควิด,สวนรื่นฤดี,สุโขทัย,2017,4,18,2017-04-18,07:00-09:00,False
204,ก่อนโควิด,สวนรื่นฤดี,สุโขทัย,2017,4,18,2017-04-18,09:00-16:00,False
205,ก่อนโควิด,สวนรื่นฤดี,สุโขทัย,2017,4,18,2017-04-18,16:00-19:00,False
215,ก่อนโควิด,พัฒนาการ,ศรีนครินทร์,2017,4,20,2017-04-20,07:00-09:00,False
216,ก่อนโควิด,พัฒนาการ,ศรีนครินทร์,2017,4,20,2017-04-20,09:00-16:00,False
217,ก่อนโควิด,พัฒนาการ,ศรีนครินทร์,2017,4,20,2017-04-20,16:00-19:00,False
218,ก่อนโควิด,พัฒนาการ,พัฒนาการ,2017,4,20,2017-04-20,07:00-09:00,False
219,ก่อนโควิด,พัฒนาการ,พัฒนาการ,2017,4,20,2017-04-20,09:00-16:00,False
220,ก่อนโควิด,พัฒนาการ,พัฒนาการ,2017,4,20,2017-04-20,16:00-19:00,False
221,ก่อนโควิด,วัดประชา,พระรามที่ 5,2017,4,21,2017-04-21,07:00-09:00,False
222,ก่อนโควิด,วัดประชา,พระรามที่ 5,2017,4,21,2017-04-21,09:00-16:00,False
223,ก่อนโควิด,วัดประชา,พระรามที่ 5,2017,4,21,2017-04-21,16:00-19:00,False
230,ก่อนโควิด,คลองตัน,สุขุมวิท 71,2017,4,24,2017-04-24,07:00-09:00,False
231,ก่อนโควิด,คลองตัน,สุขุมวิท 71,2017,4,24,2017-04-24,09:00-16:00,False
232,ก่อนโควิด,คลองตัน,สุขุมวิท 71,2017,4,24,2017-04-24,16:00-19:00,False
233,ก่อนโควิด,คลองตัน,รามคำแหง,2017,4,24,2017-04-24,07:00-09:00,False
234,ก่อนโควิด,คลองตัน,รามคำแหง,2017,4,24,2017-04-24,09:00-16:00,False
235,ก่อนโควิด,คลองตัน,รามคำแหง,2017,4,24,2017-04-24,16:00-19:00,False
236,ก่อนโควิด,คลองตัน,เพชรบุรี,2017,4,24,2017-04-24,07:00-09:00,False
237,ก่อนโควิด,คลองตัน,เพชรบุรี,2017,4,24,2017-04-24,09:00-16:00,False
238,ก่อนโควิด,คลองตัน,เพชรบุรี,2017,4,24,2017-04-24,16:00-19:00,False
239,ก่อนโควิด,คลองตัน,พัฒนาการ,2017,4,24,2017-04-24,07:00-09:00,False
240,ก่อนโควิด,คลองตัน,พัฒนาการ,2017,4,24,2017-04-24,09:00-16:00,False
241,ก่อนโควิด,คลองตัน,พัฒนาการ,2017,4,24,2017-04-24,16:00-19:00,False
260,ก่อนโควิด,ราชดำริ,ราชดำริ,2017,4,27,2017-04-27,07:00-09:00,False
261,ก่อนโควิด,ราชดำริ,ราชดำริ,2017,4,27,2017-04-27,09:00-16:00,False
262,ก่อนโควิด,ราชดำริ,ราชดำริ,2017,4,27,2017-04-27,16:00-19:00,False
263,ก่อนโควิด,ราชดำริ,สารสิน,2017,4,27,2017-04-27,07:00-09:00,False
264,ก่อนโควิด,ราชดำริ,สารสิน,2017,4,27,2017-04-27,09:00-16:00,False
265,ก่อนโควิด,ราชดำริ,สารสิน,2017,4,27,2017-04-27,16:00-19:00,False
275,ก่อนโควิด,ดาวคะนอง,สมเด็จพระเจ้าตากสิน,2017,5,1,2017-05-01,07:00-09:00,False
276,ก่อนโควิด,ดาวคะนอง,สมเด็จพระเจ้าตากสิน,2017,5,1,2017-05-01,09:00-16:00,False
277,ก่อนโควิด,ดาวคะนอง,สมเด็จพระเจ้าตากสิน,2017,5,1,2017-05-01,16:00-19:00,False
278,ก่อนโควิด,ดาวคะนอง,จอมทอง,2017,5,1,2017-05-01,07:00-09:00,False
279,ก่อนโควิด,ดาวคะนอง,จอมทอง,2017,5,1,2017-05-01,09:00-16:00,False
280,ก่อนโควิด,ดาวคะนอง,จอมทอง,2017,5,1,2017-05-01,16:00-19:00,False
317,ก่อนโควิด,เจริญราษฎร์,เจริญราษฎร์,2017,5,8,2017-05-08,07:00-09:00,False
318,ก่อนโควิด,เจริญราษฎร์,เจริญราษฎร์,2017,5,8,2017-05-08,09:00-16:00,False
319,ก่อนโควิด,เจริญราษฎร์,เจริญราษฎร์,2017,5,8,2017-05-08,16:00-19:00,False
323,ก่อนโควิด,คลองสาน,เจริญนคร,2017,5,9,2017-05-09,07:00-09:00,False
324,ก่อนโควิด,คลองสาน,เจริญนคร,2017,5,9,2017-05-09,09:00-16:00,False
325,ก่อนโควิด,คลองสาน,เจริญนคร,2017,5,9,2017-05-09,16:00-19:00,False
326,ก่อนโควิด,คลองสาน,สมเด็จเจ้าพระยา,2017,5,9,2017-05-09,07:00-09:00,False
327,ก่อนโควิด,คลองสาน,สมเด็จเจ้าพระยา,2017,5,9,2017-05-09,09:00-16:00,False
328,ก่อนโควิด,คลองสาน,สมเด็จเจ้าพระยา,2017,5,9,2017-05-09,16:00-19:00,False
329,ก่อนโควิด,คลองสาน,ลาดหญ้า,2017,5,9,2017-05-09,07:00-09:00,False
330,ก่อนโควิด,คลองสาน,ลาดหญ้า,2017,5,9,2017-05-09,09:00-16:00,False
331,ก่อนโควิด,คลองสาน,ลาดหญ้า,2017,5,9,2017-05-09,16:00-19:00,False
332,ก่อนโควิด,สีลม - นราธิวาส,นราธิวาสราชนครินทร์,2017,5,11,2017-05-11,07:00-09:00,False
333,ก่อนโควิด,สีลม - นราธิวาส,นราธิวาสราชนครินทร์,2017,5,11,2017-05-11,09:00-16:00,False
334,ก่อนโควิด,สีลม - นราธิวาส,นราธิวาสราชนครินทร์,2017,5,11,2017-05-11,16:00-19:00,False
335,ก่อนโควิด,สีลม - นราธิวาส,สีลม,2017,5,11,2017-05-11,07:00-09:00,False
336,ก่อนโควิด,สีลม - นราธิวาส,สีลม,2017,5,11,2017-05-11,09:00-16:00,False
337,ก่อนโควิด,สีลม - นราธิวาส,สีลม,2017,5,11,2017-05-11,16:00-19:00,False
380,ก่อนโควิด,สุโขทัย,สุโขทัย,2017,5,19,2017-05-19,07:00-09:00,False
381,ก่อนโควิด,สุโขทัย,สุโขทัย,2017,5,19,2017-05-19,09:00-16:00,False
382,ก่อนโควิด,สุโขทัย,สุโขทัย,2017,5,19,2017-05-19,16:00-19:00,False
383,ก่อนโควิด,เทียมร่วมมิตร,รัชดาภิเษก,2017,5,22,2017-05-22,07:00-09:00,False
384,ก่อนโควิด,เทียมร่วมมิตร,รัชดาภิเษก,2017,5,22,2017-05-22,09:00-16:00,False
385,ก่อนโควิด,เทียมร่วมมิตร,รัชดาภิเษก,2017,5,22,2017-05-22,16:00-19:00,False
386,ก่อนโควิด,เทียมร่วมมิตร,เทียมร่วมมิตร,2017,5,22,2017-05-22,07:00-09:00,False
387,ก่อนโควิด,เทียมร่วมมิตร,เทียมร่วมมิตร,2017,5,22,2017-05-22,09:00-16:00,False
388,ก่อนโควิด,เทียมร่วมมิตร,เทียมร่วมมิตร,2017,5,22,2017-05-22,16:00-19:00,False
404,ก่อนโควิด,บางยี่เรือ,เทอดไท,2017,5,25,2017-05-25,07:00-09:00,False
405,ก่อนโควิด,บางยี่เรือ,เทอดไท,2017,5,25,2017-05-25,09:00-16:00,False
406,ก่อนโควิด,บางยี่เรือ,เทอดไท,2017,5,25,2017-05-25,16:00-19:00,False
407,ก่อนโควิด,บางยี่เรือ,เพชรเกษม,2017,5,25,2017-05-25,07:00-09:00,False
408,ก่อนโควิด,บางยี่เรือ,เพชรเกษม,2017,5,25,2017-05-25,09:00-16:00,False
409,ก่อนโควิด,บางยี่เรือ,เพชรเกษม,2017,5,25,2017-05-25,16:00-19:00,False
410,ก่อนโควิด,บางยี่เรือ,อินทรพิทักษ์,2017,5,25,2017-05-25,07:00-09:00,False
411,ก่อนโควิด,บางยี่เรือ,อินทรพิทักษ์,2017,5,25,2017-05-25,09:00-16:00,False
412,ก่อนโควิด,บางยี่เรือ,อินทรพิทักษ์,2017,5,25,2017-05-25,16:00-19:00,False
413,ก่อนโควิด,สามเหลี่ยมดินแดง,ราชปรารภ,2017,5,26,2017-05-26,07:00-09:00,False
414,ก่อนโควิด,สามเหลี่ยมดินแดง,ราชปรารภ,2017,5,26,2017-05-26,09:00-16:00,False
415,ก่อนโควิด,สามเหลี่ยมดินแดง,ราชปรารภ,2017,5,26,2017-05-26,16:00-19:00,False
419,ก่อนโควิด,สามเหลี่ยมดินแดง,ราชวิถี,2017,5,26,2017-05-26,07:00-09:00,False
420,ก่อนโควิด,สามเหลี่ยมดินแดง,ราชวิถี,2017,5,26,2017-05-26,09:00-16:00,False
421,ก่อนโควิด,สามเหลี่ยมดินแดง,ราชวิถี,2017,5,26,2017-05-26,16:00-19:00,False
422,ก่อนโควิด,สามเหลี่ยมดินแดง,ดินแดง,2017,5,26,2017-05-26,07:00-09:00,False
423,ก่อนโควิด,สามเหลี่ยมดินแดง,ดินแดง,2017,5,26,2017-05-26,09:00-16:00,False
424,ก่อนโควิด,สามเหลี่ยมดินแดง,ดินแดง,2017,5,26,2017-05-26,16:00-19:00,False
428,ก่อนโควิด,โรงพยาบาลกลาง,เสือป่า,2017,5,30,2017-05-30,07:00-09:00,False
429,ก่อนโควิด,โรงพยาบาลกลาง,เสือป่า,2017,5,30,2017-05-30,09:00-16:00,False
430,ก่อนโควิด,โรงพยาบาลกลาง,เสือป่า,2017,5,30,2017-05-30,16:00-19:00,False
434,ก่อนโควิด,โรงพยาบาลกลาง,หลวง,2017,5,30,2017-05-30,07:00-09:00,False
435,ก่อนโควิด,โรงพยาบาลกลาง,หลวง,2017,5,30,2017-05-30,09:00-16:00,False
436,ก่อนโควิด,โรงพยาบาลกลาง,หลวง,2017,5,30,2017-05-30,16:00-19:00,False
443,ก่อนโควิด,วิสุทธิกษัตริย์,ประชาธิปไตย,2017,6,2,2017-06-02,07:00-09:00,False
444,ก่อนโควิด,วิสุทธิกษัตริย์,ประชาธิปไตย,2017,6,2,2017-06-02,09:00-16:00,False
445,ก่อนโควิด,วิสุทธิกษัตริย์,ประชาธิปไตย,2017,6,2,2017-06-02,16:00-19:00,False
446,ก่อนโควิด,วิสุทธิกษัตริย์,วิสุทธิกษัตริย์,2017,6,2,2017-06-02,07:00-09:00,False
