source_excel_row,covid_period,intersection,road,report_year,report_month,report_day,survey_date_parsed,time_key,has_assumed_zero
11,ก่อนโควิด,สุขุมวิท24,สุขุมวิท,2017,3,3,2017-03-03,07:00-09:00,False
23,ก่อนโควิด,วัดสน,สุขสวัสดิ์,2017,3,6,2017-03-06,07:00-09:00,False
24,ก่อนโควิด,วัดสน,สุขสวัสดิ์,2017,3,6,2017-03-06,09:00-16:00,False
25,ก่อนโควิด,วัดสน,สุขสวัสดิ์,2017,3,6,2017-03-06,16:00-19:00,False
26,ก่อนโควิด,ใต้ด่วนพระราม4,เชื้อเพลิง,2017,3,7,2017-03-07,07:00-09:00,False
27,ก่อนโควิด,ใต้ด่วนพระราม4,เชื้อเพลิง,2017,3,7,2017-03-07,09:00-16:00,False
28,ก่อนโควิด,ใต้ด่วนพระราม4,เชื้อเพลิง,2017,3,7,2017-03-07,16:00-19:00,False
29,ก่อนโควิด,ใต้ด่วนพระราม4,ทางด่วน,2017,3,7,2017-03-07,07:00-09:00,False
30,ก่อนโควิด,ใต้ด่วนพระราม4,ทางด่วน,2017,3,7,2017-03-07,09:00-16:00,False
31,ก่อนโควิด,ใต้ด่วนพระราม4,ทางด่วน,2017,3,7,2017-03-07,16:00-19:00,False
32,ก่อนโควิด,ใต้ด่วนพระราม4,พระรามที่4,2017,3,7,2017-03-07,07:00-09:00,False
33,ก่อนโควิด,ใต้ด่วนพระราม4,พระรามที่4,2017,3,7,2017-03-07,09:00-16:00,False
34,ก่อนโควิด,ใต้ด่วนพระราม4,พระรามที่4,2017,3,7,2017-03-07,16:00-19:00,False
47,ก่อนโควิด,สะพานเหลือง,พระรามที่4,2017,3,9,2017-03-09,07:00-09:00,False
53,ก่อนโควิด,สะพานเหลือง,บรรทัดทอง,2017,3,9,2017-03-09,07:00-09:00,False
62,ก่อนโควิด,บางขุนนนท์,จรัญสนิทวงศ์,2017,3,13,2017-03-13,07:00-09:00,False
65,ก่อนโควิด,บางขุนนนท์,บางกอกน้อยตลิ่งชัน,2017,3,13,2017-03-13,07:00-09:00,False
86,ก่อนโควิด,เกษมราษฎร์,เกษมราษฎร์,2017,3,16,2017-03-16,07:00-09:00,False
87,ก่อนโควิด,เกษมราษฎร์,เกษมราษฎร์,2017,3,16,2017-03-16,09:00-16:00,False
88,ก่อนโควิด,เกษมราษฎร์,เกษมราษฎร์,2017,3,16,2017-03-16,16:00-19:00,False
92,ก่อนโควิด,เกษมราษฎร์,พระรามที่4,2017,3,16,2017-03-16,07:00-09:00,False
93,ก่อนโควิด,เกษมราษฎร์,พระรามที่4,2017,3,16,2017-03-16,09:00-16:00,False
94,ก่อนโควิด,เกษมราษฎร์,พระรามที่4,2017,3,16,2017-03-16,16:00-19:00,False
95,ก่อนโควิด,หัวลำโพง,มหาพฤฒาราม,2017,3,17,2017-03-17,07:00-09:00,False
98,ก่อนโควิด,หัวลำโพง,พระรามที่4,2017,3,17,2017-03-17,07:00-09:00,False
101,ก่อนโควิด,อุณากรรณ,อุณากรรณ,2017,3,20,2017-03-20,07:00-09:00,False
104,ก่อนโควิด,อุณากรรณ,เจริญกรุง,2017,3,20,2017-03-20,07:00-09:00,False
113,ก่อนโควิด,บุคคโล,เจริญนคร,2017,3,22,2017-03-22,07:00-09:00,False
116,ก่อนโควิด,บุคคโล,มไหสวรรย์,2017,3,22,2017-03-22,07:00-09:00,False
134,ก่อนโควิด,สุทธิสาร,รัชดาภิเษก,2017,3,28,2017-03-28,07:00-09:00,False
135,ก่อนโควิด,สุทธิสาร,รัชดาภิเษก,2017,3,28,2017-03-28,09:00-16:00,False
136,ก่อนโควิด,สุทธิสาร,รัชดาภิเษก,2017,3,28,2017-03-28,16:00-19:00,False
137,ก่อนโควิด,สุทธิสาร,สุทธิสารวินิจฉัย,2017,3,28,2017-03-28,07:00-09:00,False
138,ก่อนโควิด,สุทธิสาร,สุทธิสารวินิจฉัย,2017,3,28,2017-03-28,09:00-16:00,False
139,ก่อนโควิด,สุทธิสาร,สุทธิสารวินิจฉัย,2017,3,28,2017-03-28,16:00-19:00,False
146,ก่อนโควิด,ประชานิเวศน์,ประชาชื่น,2017,3,30,2017-03-30,07:00-09:00,False
149,ก่อนโควิด,ประชานิเวศน์,เทศบาลสงเคราะห์,2017,3,30,2017-03-30,07:00-09:00,False
164,ก่อนโควิด,ถนนตก,เจริญกรุง,2017,4,3,2017-04-03,07:00-09:00,False
167,ก่อนโควิด,ถนนตก,พระรามที่3,2017,4,3,2017-04-03,07:00-09:00,False
192,ก่อนโควิด,ประเวศ,อ่อนนุช,2017,4,7,2017-04-07,09:00-16:00,False
195,ก่อนโควิด,บางขุนพรหม,สามเสน,2017,4,10,2017-04-10,09:00-16:00,False
203,ก่อนโควิด,สวนรื่นฤดี,สุโขทัย,2017,4,18,2017-04-18,07:00-09:00,False
215,ก่อนโควิด,พัฒนาการ,ศรีนครินทร์,2017,4,20,2017-04-20,07:00-09:00,False
218,ก่อนโควิด,พัฒนาการ,พัฒนาการ,2017,4,20,2017-04-20,07:00-09:00,False
221,ก่อนโควิด,วัดประชา,พระรามที่5,2017,4,21,2017-04-21,07:00-09:00,False
230,ก่อนโควิด,คลองตัน,สุขุมวิท71,2017,4,24,2017-04-24,07:00-09:00,False
233,ก่อนโควิด,คลองตัน,รามคำแหง,2017,4,24,2017-04-24,07:00-09:00,False
234,ก่อนโควิด,คลองตัน,รามคำแหง,2017,4,24,2017-04-24,09:00-16:00,False
236,ก่อนโควิด,คลองตัน,เพชรบุรี,2017,4,24,2017-04-24,07:00-09:00,False
237,ก่อนโควิด,คลองตัน,เพชรบุรี,2017,4,24,2017-04-24,09:00-16:00,False
239,ก่อนโควิด,คลองตัน,พัฒนาการ,2017,4,24,2017-04-24,07:00-09:00,False
240,ก่อนโควิด,คลองตัน,พัฒนาการ,2017,4,24,2017-04-24,09:00-16:00,False
241,ก่อนโควิด,คลองตัน,พัฒนาการ,2017,4,24,2017-04-24,16:00-19:00,False
260,ก่อนโควิด,ราชดำริ,ราชดำริ,2017,4,27,2017-04-27,07:00-09:00,False
263,ก่อนโควิด,ราชดำริ,สารสิน,2017,4,27,2017-04-27,07:00-09:00,False
275,ก่อนโควิด,ดาวคะนอง,สมเด็จพระเจ้าตากสิน,2017,5,1,2017-05-01,07:00-09:00,False
276,ก่อนโควิด,ดาวคะนอง,สมเด็จพระเจ้าตากสิน,2017,5,1,2017-05-01,09:00-16:00,False
277,ก่อนโควิด,ดาวคะนอง,สมเด็จพระเจ้าตากสิน,2017,5,1,2017-05-01,16:00-19:00,False
278,ก่อนโควิด,ดาวคะนอง,จอมทอง,2017,5,1,2017-05-01,07:00-09:00,False
279,ก่อนโควิด,ดาวคะนอง,จอมทอง,2017,5,1,2017-05-01,09:00-16:00,False
280,ก่อนโควิด,ดาวคะนอง,จอมทอง,2017,5,1,2017-05-01,16:00-19:00,False
284,ก่อนโควิด,เพชรบุรี-ชิดลม,เพชรบุรี,2017,5,2,2017-05-02,07:00-09:00,False
314,ก่อนโควิด,นราธิวาส-สุรวงศ์,สุรวงศ์,2017,5,5,2017-05-05,07:00-09:00,False
315,ก่อนโควิด,นราธิวาส-สุรวงศ์,สุรวงศ์,2017,5,5,2017-05-05,09:00-16:00,False
